"n","seq","response_prior","eig"
39,"TTTT","ignorance",0.856090446067446
39,"TTTH","ignorance",0.819180163753973
39,"TTHT","ignorance",0.819180163753973
39,"TTHH","ignorance",0.487452777625182
39,"THTT","ignorance",0.819180163753972
39,"THTH","ignorance",0.570202472639547
39,"THHT","ignorance",0.487452777625182
39,"THHH","ignorance",0.735978230094566
39,"HTTT","ignorance",0.735978230094566
39,"HTTH","ignorance",0.487452777625181
39,"HTHT","ignorance",0.570202472639547
39,"HTHH","ignorance",0.819180163753972
39,"HHTT","ignorance",0.487452777625181
39,"HHTH","ignorance",0.819180163753972
39,"HHHT","ignorance",0.819180163753972
39,"HHHH","ignorance",0.856090446067445
40,"TTTT","ignorance",0.85868624066951
40,"TTTH","ignorance",0.824662253723807
40,"TTHT","ignorance",0.824662253723807
40,"TTHH","ignorance",0.492934648985378
40,"THTT","ignorance",0.824662253723806
40,"THTH","ignorance",0.5715623487828
40,"THHT","ignorance",0.492934648985378
40,"THHH","ignorance",0.743030362665892
40,"HTTT","ignorance",0.743030362665892
40,"HTTH","ignorance",0.492934648985378
40,"HTHT","ignorance",0.5715623487828
40,"HTHH","ignorance",0.824662253723806
40,"HHTT","ignorance",0.492934648985378
40,"HHTH","ignorance",0.824662253723806
40,"HHHT","ignorance",0.824662253723806
40,"HHHH","ignorance",0.858686240669511
41,"TTTT","ignorance",0.861226681477643
41,"TTTH","ignorance",0.829920371738392
41,"TTHT","ignorance",0.829920371738392
41,"TTHH","ignorance",0.498172577485627
41,"THTT","ignorance",0.829920371738392
41,"THTH","ignorance",0.572854415289643
41,"THHT","ignorance",0.498172577485627
41,"THHH","ignorance",0.749803619529063
41,"HTTT","ignorance",0.749803619529063
41,"HTTH","ignorance",0.498172577485627
41,"HTHT","ignorance",0.572854415289643
41,"HTHH","ignorance",0.829920371738392
41,"HHTT","ignorance",0.498172577485627
41,"HHTH","ignorance",0.829920371738392
41,"HHHT","ignorance",0.829920371738392
41,"HHHH","ignorance",0.861226681477643
42,"TTTT","ignorance",0.863720417973676
42,"TTTH","ignorance",0.834968931068746
42,"TTHT","ignorance",0.834968931068746
42,"TTHH","ignorance",0.503181082057772
42,"THTT","ignorance",0.834968931068746
42,"THTH","ignorance",0.574081928785866
42,"THHT","ignorance",0.503181082057772
42,"THHH","ignorance",0.756313320847059
42,"HTTT","ignorance",0.756313320847059
42,"HTTH","ignorance",0.503181082057771
